FIPS Code,Place Name,Place Type
1,ALABAMA,State
2,ALASKA,State
4,ARIZONA,State
5,ARKANSAS,State
6,CALIFORNIA,State
8,COLORADO,State
9,CONNECTICUT,State
10,DELAWARE,State
11,DISTRICT OF COLUMBIA,State
12,FLORIDA,State
13,GEORGIA,State
15,HAWAII,State
16,IDAHO,State
17,ILLINOIS,State
18,INDIANA,State
19,IOWA,State
20,KANSAS,State
21,KENTUCKY,State
22,LOUISIANA,State
23,MAINE,State
24,MARYLAND,State
25,MASSACHUSETTS,State
26,MICHIGAN,State
27,MINNESOTA,State
28,MISSISSIPPI,State
29,MISSOURI,State
30,MONTANA,State
31,NEBRASKA,State
32,NEVADA,State
33,NEW HAMPSHIRE,State
34,NEW JERSEY,State
35,NEW MEXICO,State
36,NEW YORK,State
37,NORTH CAROLINA,State
38,NORTH DAKOTA,State
39,OHIO,State
40,OKLAHOMA,State
41,OREGON,State
42,PENNSYLVANIA,State
44,RHODE ISLAND,State
45,SOUTH CAROLINA,State
46,SOUTH DAKOTA,State
47,TENNESSEE,State
48,TEXAS,State
49,UTAH,State
50,VERMONT,State
51,VIRGINIA,State
53,WASHINGTON,State
54,WEST VIRGINIA,State
55,WISCONSIN,State
56,WYOMING,State
1000,Alabama,County
1001,Autauga County,County
1003,Baldwin County,County
1005,Barbour County,County
1007,Bibb County,County
1009,Blount County,County
1011,Bullock County,County
1013,Butler County,County
1015,Calhoun County,County
1017,Chambers County,County
1019,Cherokee County,County
1021,Chilton County,County
1023,Choctaw County,County
1025,Clarke County,County
1027,Clay County,County
1029,Cleburne County,County
1031,Coffee County,County
1033,Colbert County,County
1035,Conecuh County,County
1037,Coosa County,County
1039,Covington County,County
1041,Crenshaw County,County
1043,Cullman County,County
1045,Dale County,County
1047,Dallas County,County
1049,DeKalb County,County
1051,Elmore County,County
1053,Escambia County,County
1055,Etowah County,County
1057,Fayette County,County
1059,Franklin County,County
1061,Geneva County,County
1063,Greene County,County
1065,Hale County,County
1067,Henry County,County
1069,Houston County,County
1071,Jackson County,County
1073,Jefferson County,County
1075,Lamar County,County
1077,Lauderdale County,County
1079,Lawrence County,County
1081,Lee County,County
1083,Limestone County,County
1085,Lowndes County,County
1087,Macon County,County
1089,Madison County,County
1091,Marengo County,County
1093,Marion County,County
1095,Marshall County,County
1097,Mobile County,County
1099,Monroe County,County
1101,Montgomery County,County
1103,Morgan County,County
1105,Perry County,County
1107,Pickens County,County
1109,Pike County,County
1111,Randolph County,County
1113,Russell County,County
1115,St. Clair County,County
1117,Shelby County,County
1119,Sumter County,County
1121,Talladega County,County
1123,Tallapoosa County,County
1125,Tuscaloosa County,County
1127,Walker County,County
1129,Washington County,County
1131,Wilcox County,County
1133,Winston County,County
2000,Alaska,County
2013,Aleutians East Borough,County
2016,Aleutians West Census Area,County
2020,Anchorage Borough,County
2050,Bethel Census Area,County
2060,Bristol Bay Borough,County
2068,Denali Borough,County
2070,Dillingham Census Area,County
2090,Fairbanks North Star Borough,County
2100,Haines Borough,County
2110,Juneau Borough,County
2122,Kenai Peninsula Borough,County
2130,Ketchikan Gateway Borough,County
2150,Kodiak Island Borough,County
2164,Lake and Peninsula Borough,County
2170,Matanuska-Susitna Borough,County
2180,Nome Census Area,County
2185,North Slope Borough,County
2188,Northwest Arctic Borough,County
2201,Prince of Wales-Outer Ketchikan Census Area,County
2220,Sitka Borough,County
2231,Skagway-Yakutat-Angoon Census Area,County
2232,Skagway-Hoonah-Angoon Census Area,County
2240,Southeast Fairbanks Census Area,County
2261,Valdez-Cordova Census Area,County
2270,Wade Hampton Census Area,County
2280,Wrangell-Petersburg Census Area,County
2282,Yakutat Borough,County
2290,Yukon-Koyukuk Census Area,County
4000,Arizona,County
4001,Apache County,County
4003,Cochise County,County
4005,Coconino County,County
4007,Gila County,County
4009,Graham County,County
4011,Greenlee County,County
4012,La Paz County,County
4013,Maricopa County,County
4015,Mohave County,County
4017,Navajo County,County
4019,Pima County,County
4021,Pinal County,County
4023,Santa Cruz County,County
4025,Yavapai County,County
4027,Yuma County,County
5000,Arkansas,County
5001,Arkansas County,County
5003,Ashley County,County
5005,Baxter County,County
5007,Benton County,County
5009,Boone County,County
5011,Bradley County,County
5013,Calhoun County,County
5015,Carroll County,County
5017,Chicot County,County
5019,Clark County,County
5021,Clay County,County
5023,Cleburne County,County
5025,Cleveland County,County
5027,Columbia County,County
5029,Conway County,County
5031,Craighead County,County
5033,Crawford County,County
5035,Crittenden County,County
5037,Cross County,County
5039,Dallas County,County
5041,Desha County,County
5043,Drew County,County
5045,Faulkner County,County
5047,Franklin County,County
5049,Fulton County,County
5051,Garland County,County
5053,Grant County,County
5055,Greene County,County
5057,Hempstead County,County
5059,Hot Spring County,County
5061,Howard County,County
5063,Independence County,County
5065,Izard County,County
5067,Jackson County,County
5069,Jefferson County,County
5071,Johnson County,County
5073,Lafayette County,County
5075,Lawrence County,County
5077,Lee County,County
5079,Lincoln County,County
5081,Little River County,County
5083,Logan County,County
5085,Lonoke County,County
5087,Madison County,County
5089,Marion County,County
5091,Miller County,County
5093,Mississippi County,County
5095,Monroe County,County
5097,Montgomery County,County
5099,Nevada County,County
5101,Newton County,County
5103,Ouachita County,County
5105,Perry County,County
5107,Phillips County,County
5109,Pike County,County
5111,Poinsett County,County
5113,Polk County,County
5115,Pope County,County
5117,Prairie County,County
5119,Pulaski County,County
5121,Randolph County,County
5123,St. Francis County,County
5125,Saline County,County
5127,Scott County,County
5129,Searcy County,County
5131,Sebastian County,County
5133,Sevier County,County
5135,Sharp County,County
5137,Stone County,County
5139,Union County,County
5141,Van Buren County,County
5143,Washington County,County
5145,White County,County
5147,Woodruff County,County
5149,Yell County,County
6000,California,County
6001,Alameda County,County
6003,Alpine County,County
6005,Amador County,County
6007,Butte County,County
6009,Calaveras County,County
6011,Colusa County,County
6013,Contra Costa County,County
6015,Del Norte County,County
6017,El Dorado County,County
6019,Fresno County,County
6021,Glenn County,County
6023,Humboldt County,County
6025,Imperial County,County
6027,Inyo County,County
6029,Kern County,County
6031,Kings County,County
6033,Lake County,County
6035,Lassen County,County
6037,Los Angeles County,County
6039,Madera County,County
6041,Marin County,County
6043,Mariposa County,County
6045,Mendocino County,County
6047,Merced County,County
6049,Modoc County,County
6051,Mono County,County
6053,Monterey County,County
6055,Napa County,County
6057,Nevada County,County
6059,Orange County,County
6061,Placer County,County
6063,Plumas County,County
6065,Riverside County,County
6067,Sacramento County,County
6069,San Benito County,County
6071,San Bernardino County,County
6073,San Diego County,County
6075,San Francisco County,County
6077,San Joaquin County,County
6079,San Luis Obispo County,County
6081,San Mateo County,County
6083,Santa Barbara County,County
6085,Santa Clara County,County
6087,Santa Cruz County,County
6089,Shasta County,County
6091,Sierra County,County
6093,Siskiyou County,County
6095,Solano County,County
6097,Sonoma County,County
6099,Stanislaus County,County
6101,Sutter County,County
6103,Tehama County,County
6105,Trinity County,County
6107,Tulare County,County
6109,Tuolumne County,County
6111,Ventura County,County
6113,Yolo County,County
6115,Yuba County,County
8000,Colorado,County
8001,Adams County,County
8003,Alamosa County,County
8005,Arapahoe County,County
8007,Archuleta County,County
8009,Baca County,County
8011,Bent County,County
8013,Boulder County,County
8015,Chaffee County,County
8017,Cheyenne County,County
8019,Clear Creek County,County
8021,Conejos County,County
8023,Costilla County,County
8025,Crowley County,County
8027,Custer County,County
8029,Delta County,County
8031,Denver County,County
8033,Dolores County,County
8035,Douglas County,County
8037,Eagle County,County
8039,Elbert County,County
8041,El Paso County,County
8043,Fremont County,County
8045,Garfield County,County
8047,Gilpin County,County
8049,Grand County,County
8051,Gunnison County,County
8053,Hinsdale County,County
8055,Huerfano County,County
8057,Jackson County,County
8059,Jefferson County,County
8061,Kiowa County,County
8063,Kit Carson County,County
8065,Lake County,County
8067,La Plata County,County
8069,Larimer County,County
8071,Las Animas County,County
8073,Lincoln County,County
8075,Logan County,County
8077,Mesa County,County
8079,Mineral County,County
8081,Moffat County,County
8083,Montezuma County,County
8085,Montrose County,County
8087,Morgan County,County
8089,Otero County,County
8091,Ouray County,County
8093,Park County,County
8095,Phillips County,County
8097,Pitkin County,County
8099,Prowers County,County
8101,Pueblo County,County
8103,Rio Blanco County,County
8105,Rio Grande County,County
8107,Routt County,County
8109,Saguache County,County
8111,San Juan County,County
8113,San Miguel County,County
8115,Sedgwick County,County
8117,Summit County,County
8119,Teller County,County
8121,Washington County,County
8123,Weld County,County
8125,Yuma County,County
9000,Connecticut,County
9001,Fairfield County,County
9003,Hartford County,County
9005,Litchfield County,County
9007,Middlesex County,County
9009,New Haven County,County
9011,New London County,County
9013,Tolland County,County
9015,Windham County,County
10000,Delaware,County
10001,Kent County,County
10003,New Castle County,County
10005,Sussex County,County
11000,District of Columbia,County
11001,District of Columbia,County
12000,Florida,County
12001,Alachua County,County
12003,Baker County,County
12005,Bay County,County
12007,Bradford County,County
12009,Brevard County,County
12011,Broward County,County
12013,Calhoun County,County
12015,Charlotte County,County
12017,Citrus County,County
12019,Clay County,County
12021,Collier County,County
12023,Columbia County,County
12025,Dade County,County
12027,DeSoto County,County
12029,Dixie County,County
12031,Duval County,County
12033,Escambia County,County
12035,Flagler County,County
12037,Franklin County,County
12039,Gadsden County,County
12041,Gilchrist County,County
12043,Glades County,County
12045,Gulf County,County
12047,Hamilton County,County
12049,Hardee County,County
12051,Hendry County,County
12053,Hernando County,County
12055,Highlands County,County
12057,Hillsborough County,County
12059,Holmes County,County
12061,Indian River County,County
12063,Jackson County,County
12065,Jefferson County,County
12067,Lafayette County,County
12069,Lake County,County
12071,Lee County,County
12073,Leon County,County
12075,Levy County,County
12077,Liberty County,County
12079,Madison County,County
12081,Manatee County,County
12083,Marion County,County
12085,Martin County,County
12087,Monroe County,County
12089,Nassau County,County
12091,Okaloosa County,County
12093,Okeechobee County,County
12095,Orange County,County
12097,Osceola County,County
12099,Palm Beach County,County
12101,Pasco County,County
12103,Pinellas County,County
12105,Polk County,County
12107,Putnam County,County
12109,St. Johns County,County
12111,St. Lucie County,County
12113,Santa Rosa County,County
12115,Sarasota County,County
12117,Seminole County,County
12119,Sumter County,County
12121,Suwannee County,County
12123,Taylor County,County
12125,Union County,County
12127,Volusia County,County
12129,Wakulla County,County
12131,Walton County,County
12133,Washington County,County
13000,Georgia,County
13001,Appling County,County
13003,Atkinson County,County
13005,Bacon County,County
13007,Baker County,County
13009,Baldwin County,County
13011,Banks County,County
13013,Barrow County,County
13015,Bartow County,County
13017,Ben Hill County,County
13019,Berrien County,County
13021,Bibb County,County
13023,Bleckley County,County
13025,Brantley County,County
13027,Brooks County,County
13029,Bryan County,County
13031,Bulloch County,County
13033,Burke County,County
13035,Butts County,County
13037,Calhoun County,County
13039,Camden County,County
13043,Candler County,County
13045,Carroll County,County
13047,Catoosa County,County
13049,Charlton County,County
13051,Chatham County,County
13053,Chattahoochee County,County
13055,Chattooga County,County
13057,Cherokee County,County
13059,Clarke County,County
13061,Clay County,County
13063,Clayton County,County
13065,Clinch County,County
13067,Cobb County,County
13069,Coffee County,County
13071,Colquitt County,County
13073,Columbia County,County
13075,Cook County,County
13077,Coweta County,County
13079,Crawford County,County
13081,Crisp County,County
13083,Dade County,County
13085,Dawson County,County
13087,Decatur County,County
13089,DeKalb County,County
13091,Dodge County,County
13093,Dooly County,County
13095,Dougherty County,County
13097,Douglas County,County
13099,Early County,County
13101,Echols County,County
13103,Effingham County,County
13105,Elbert County,County
13107,Emanuel County,County
13109,Evans County,County
13111,Fannin County,County
13113,Fayette County,County
13115,Floyd County,County
13117,Forsyth County,County
13119,Franklin County,County
13121,Fulton County,County
13123,Gilmer County,County
13125,Glascock County,County
13127,Glynn County,County
13129,Gordon County,County
13131,Grady County,County
13133,Greene County,County
13135,Gwinnett County,County
13137,Habersham County,County
13139,Hall County,County
13141,Hancock County,County
13143,Haralson County,County
13145,Harris County,County
13147,Hart County,County
13149,Heard County,County
13151,Henry County,County
13153,Houston County,County
13155,Irwin County,County
13157,Jackson County,County
13159,Jasper County,County
13161,Jeff Davis County,County
13163,Jefferson County,County
13165,Jenkins County,County
13167,Johnson County,County
13169,Jones County,County
13171,Lamar County,County
13173,Lanier County,County
13175,Laurens County,County
13177,Lee County,County
13179,Liberty County,County
13181,Lincoln County,County
13183,Long County,County
13185,Lowndes County,County
13187,Lumpkin County,County
13189,McDuffie County,County
13191,McIntosh County,County
13193,Macon County,County
13195,Madison County,County
13197,Marion County,County
13199,Meriwether County,County
13201,Miller County,County
13205,Mitchell County,County
13207,Monroe County,County
13209,Montgomery County,County
13211,Morgan County,County
13213,Murray County,County
13215,Muscogee County,County
13217,Newton County,County
13219,Oconee County,County
13221,Oglethorpe County,County
13223,Paulding County,County
13225,Peach County,County
13227,Pickens County,County
13229,Pierce County,County
13231,Pike County,County
13233,Polk County,County
13235,Pulaski County,County
13237,Putnam County,County
13239,Quitman County,County
13241,Rabun County,County
13243,Randolph County,County
13245,Richmond County,County
13247,Rockdale County,County
13249,Schley County,County
13251,Screven County,County
13253,Seminole County,County
13255,Spalding County,County
13257,Stephens County,County
13259,Stewart County,County
13261,Sumter County,County
13263,Talbot County,County
13265,Taliaferro County,County
13267,Tattnall County,County
13269,Taylor County,County
13271,Telfair County,County
13273,Terrell County,County
13275,Thomas County,County
13277,Tift County,County
13279,Toombs County,County
13281,Towns County,County
13283,Treutlen County,County
13285,Troup County,County
13287,Turner County,County
13289,Twiggs County,County
13291,Union County,County
13293,Upson County,County
13295,Walker County,County
13297,Walton County,County
13299,Ware County,County
13301,Warren County,County
13303,Washington County,County
13305,Wayne County,County
13307,Webster County,County
13309,Wheeler County,County
13311,White County,County
13313,Whitfield County,County
13315,Wilcox County,County
13317,Wilkes County,County
13319,Wilkinson County,County
13321,Worth County,County
15000,Hawaii,County
15001,Hawaii County,County
15003,Honolulu County,County
15005,Kalawao County,County
15007,Kauai County,County
15009,Maui County,County
16000,Idaho,County
16001,Ada County,County
16003,Adams County,County
16005,Bannock County,County
16007,Bear Lake County,County
16009,Benewah County,County
16011,Bingham County,County
16013,Blaine County,County
16015,Boise County,County
16017,Bonner County,County
16019,Bonneville County,County
16021,Boundary County,County
16023,Butte County,County
16025,Camas County,County
16027,Canyon County,County
16029,Caribou County,County
16031,Cassia County,County
16033,Clark County,County
16035,Clearwater County,County
16037,Custer County,County
16039,Elmore County,County
16041,Franklin County,County
16043,Fremont County,County
16045,Gem County,County
16047,Gooding County,County
16049,Idaho County,County
16051,Jefferson County,County
16053,Jerome County,County
16055,Kootenai County,County
16057,Latah County,County
16059,Lemhi County,County
16061,Lewis County,County
16063,Lincoln County,County
16065,Madison County,County
16067,Minidoka County,County
16069,Nez Perce County,County
16071,Oneida County,County
16073,Owyhee County,County
16075,Payette County,County
16077,Power County,County
16079,Shoshone County,County
16081,Teton County,County
16083,Twin Falls County,County
16085,Valley County,County
16087,Washington County,County
17000,Illinois,County
17001,Adams County,County
17003,Alexander County,County
17005,Bond County,County
17007,Boone County,County
17009,Brown County,County
17011,Bureau County,County
17013,Calhoun County,County
17015,Carroll County,County
17017,Cass County,County
17019,Champaign County,County
17021,Christian County,County
17023,Clark County,County
17025,Clay County,County
17027,Clinton County,County
17029,Coles County,County
17031,Cook County,County
17033,Crawford County,County
17035,Cumberland County,County
17037,DeKalb County,County
17039,De Witt County,County
17041,Douglas County,County
17043,DuPage County,County
17045,Edgar County,County
17047,Edwards County,County
17049,Effingham County,County
17051,Fayette County,County
17053,Ford County,County
17055,Franklin County,County
17057,Fulton County,County
17059,Gallatin County,County
17061,Greene County,County
17063,Grundy County,County
17065,Hamilton County,County
17067,Hancock County,County
17069,Hardin County,County
17071,Henderson County,County
17073,Henry County,County
17075,Iroquois County,County
17077,Jackson County,County
17079,Jasper County,County
17081,Jefferson County,County
17083,Jersey County,County
17085,Jo Daviess County,County
17087,Johnson County,County
17089,Kane County,County
17091,Kankakee County,County
17093,Kendall County,County
17095,Knox County,County
17097,Lake County,County
17099,La Salle County,County
17101,Lawrence County,County
17103,Lee County,County
17105,Livingston County,County
17107,Logan County,County
17109,McDonough County,County
17111,McHenry County,County
17113,McLean County,County
17115,Macon County,County
17117,Macoupin County,County
17119,Madison County,County
17121,Marion County,County
17123,Marshall County,County
17125,Mason County,County
17127,Massac County,County
17129,Menard County,County
17131,Mercer County,County
17133,Monroe County,County
17135,Montgomery County,County
17137,Morgan County,County
17139,Moultrie County,County
17141,Ogle County,County
17143,Peoria County,County
17145,Perry County,County
17147,Piatt County,County
17149,Pike County,County
17151,Pope County,County
17153,Pulaski County,County
17155,Putnam County,County
17157,Randolph County,County
17159,Richland County,County
17161,Rock Island County,County
17163,St. Clair County,County
17165,Saline County,County
17167,Sangamon County,County
17169,Schuyler County,County
17171,Scott County,County
17173,Shelby County,County
17175,Stark County,County
17177,Stephenson County,County
17179,Tazewell County,County
17181,Union County,County
17183,Vermilion County,County
17185,Wabash County,County
17187,Warren County,County
17189,Washington County,County
17191,Wayne County,County
17193,White County,County
17195,Whiteside County,County
17197,Will County,County
17199,Williamson County,County
17201,Winnebago County,County
17203,Woodford County,County
18000,Indiana,County
18001,Adams County,County
18003,Allen County,County
18005,Bartholomew County,County
18007,Benton County,County
18009,Blackford County,County
18011,Boone County,County
18013,Brown County,County
18015,Carroll County,County
18017,Cass County,County
18019,Clark County,County
18021,Clay County,County
18023,Clinton County,County
18025,Crawford County,County
18027,Daviess County,County
18029,Dearborn County,County
18031,Decatur County,County
18033,De Kalb County,County
18035,Delaware County,County
18037,Dubois County,County
18039,Elkhart County,County
18041,Fayette County,County
18043,Floyd County,County
18045,Fountain County,County
18047,Franklin County,County
18049,Fulton County,County
18051,Gibson County,County
18053,Grant County,County
18055,Greene County,County
18057,Hamilton County,County
18059,Hancock County,County
18061,Harrison County,County
18063,Hendricks County,County
18065,Henry County,County
18067,Howard County,County
18069,Huntington County,County
18071,Jackson County,County
18073,Jasper County,County
18075,Jay County,County
18077,Jefferson County,County
18079,Jennings County,County
18081,Johnson County,County
18083,Knox County,County
18085,Kosciusko County,County
18087,Lagrange County,County
18089,Lake County,County
18091,La Porte County,County
18093,Lawrence County,County
18095,Madison County,County
18097,Marion County,County
18099,Marshall County,County
18101,Martin County,County
18103,Miami County,County
18105,Monroe County,County
18107,Montgomery County,County
18109,Morgan County,County
18111,Newton County,County
18113,Noble County,County
18115,Ohio County,County
18117,Orange County,County
18119,Owen County,County
18121,Parke County,County
18123,Perry County,County
18125,Pike County,County
18127,Porter County,County
18129,Posey County,County
18131,Pulaski County,County
18133,Putnam County,County
18135,Randolph County,County
18137,Ripley County,County
18139,Rush County,County
18141,St. Joseph County,County
18143,Scott County,County
18145,Shelby County,County
18147,Spencer County,County
18149,Starke County,County
18151,Steuben County,County
18153,Sullivan County,County
18155,Switzerland County,County
18157,Tippecanoe County,County
18159,Tipton County,County
18161,Union County,County
18163,Vanderburgh County,County
18165,Vermillion County,County
18167,Vigo County,County
18169,Wabash County,County
18171,Warren County,County
18173,Warrick County,County
18175,Washington County,County
18177,Wayne County,County
18179,Wells County,County
18181,White County,County
18183,Whitley County,County
19000,Iowa,County
19001,Adair County,County
19003,Adams County,County
19005,Allamakee County,County
19007,Appanoose County,County
19009,Audubon County,County
19011,Benton County,County
19013,Black Hawk County,County
19015,Boone County,County
19017,Bremer County,County
19019,Buchanan County,County
19021,Buena Vista County,County
19023,Butler County,County
19025,Calhoun County,County
19027,Carroll County,County
19029,Cass County,County
19031,Cedar County,County
19033,Cerro Gordo County,County
19035,Cherokee County,County
19037,Chickasaw County,County
19039,Clarke County,County
19041,Clay County,County
19043,Clayton County,County
19045,Clinton County,County
19047,Crawford County,County
19049,Dallas County,County
19051,Davis County,County
19053,Decatur County,County
19055,Delaware County,County
19057,Des Moines County,County
19059,Dickinson County,County
19061,Dubuque County,County
19063,Emmet County,County
19065,Fayette County,County
19067,Floyd County,County
19069,Franklin County,County
19071,Fremont County,County
19073,Greene County,County
19075,Grundy County,County
19077,Guthrie County,County
19079,Hamilton County,County
19081,Hancock County,County
19083,Hardin County,County
19085,Harrison County,County
19087,Henry County,County
19089,Howard County,County
19091,Humboldt County,County
19093,Ida County,County
19095,Iowa County,County
19097,Jackson County,County
19099,Jasper County,County
19101,Jefferson County,County
19103,Johnson County,County
19105,Jones County,County
19107,Keokuk County,County
19109,Kossuth County,County
19111,Lee County,County
19113,Linn County,County
19115,Louisa County,County
19117,Lucas County,County
19119,Lyon County,County
19121,Madison County,County
19123,Mahaska County,County
19125,Marion County,County
19127,Marshall County,County
19129,Mills County,County
19131,Mitchell County,County
19133,Monona County,County
19135,Monroe County,County
19137,Montgomery County,County
19139,Muscatine County,County
19141,O,County
19143,Osceola County,County
19145,Page County,County
19147,Palo Alto County,County
19149,Plymouth County,County
19151,Pocahontas County,County
19153,Polk County,County
19155,Pottawattamie County,County
19157,Poweshiek County,County
19159,Ringgold County,County
19161,Sac County,County
19163,Scott County,County
19165,Shelby County,County
19167,Sioux County,County
19169,Story County,County
19171,Tama County,County
19173,Taylor County,County
19175,Union County,County
19177,Van Buren County,County
19179,Wapello County,County
19181,Warren County,County
19183,Washington County,County
19185,Wayne County,County
19187,Webster County,County
19189,Winnebago County,County
19191,Winneshiek County,County
19193,Woodbury County,County
19195,Worth County,County
19197,Wright County,County
20000,Kansas,County
20001,Allen County,County
20003,Anderson County,County
20005,Atchison County,County
20007,Barber County,County
20009,Barton County,County
20011,Bourbon County,County
20013,Brown County,County
20015,Butler County,County
20017,Chase County,County
20019,Chautauqua County,County
20021,Cherokee County,County
20023,Cheyenne County,County
20025,Clark County,County
20027,Clay County,County
20029,Cloud County,County
20031,Coffey County,County
20033,Comanche County,County
20035,Cowley County,County
20037,Crawford County,County
20039,Decatur County,County
20041,Dickinson County,County
20043,Doniphan County,County
20045,Douglas County,County
20047,Edwards County,County
20049,Elk County,County
20051,Ellis County,County
20053,Ellsworth County,County
20055,Finney County,County
20057,Ford County,County
20059,Franklin County,County
20061,Geary County,County
20063,Gove County,County
20065,Graham County,County
20067,Grant County,County
20069,Gray County,County
20071,Greeley County,County
20073,Greenwood County,County
20075,Hamilton County,County
20077,Harper County,County
20079,Harvey County,County
20081,Haskell County,County
20083,Hodgeman County,County
20085,Jackson County,County
20087,Jefferson County,County
20089,Jewell County,County
20091,Johnson County,County
20093,Kearny County,County
20095,Kingman County,County
20097,Kiowa County,County
20099,Labette County,County
20101,Lane County,County
20103,Leavenworth County,County
20105,Lincoln County,County
20107,Linn County,County
20109,Logan County,County
20111,Lyon County,County
20113,McPherson County,County
20115,Marion County,County
20117,Marshall County,County
20119,Meade County,County
20121,Miami County,County
20123,Mitchell County,County
20125,Montgomery County,County
20127,Morris County,County
20129,Morton County,County
20131,Nemaha County,County
20133,Neosho County,County
20135,Ness County,County
20137,Norton County,County
20139,Osage County,County
20141,Osborne County,County
20143,Ottawa County,County
20145,Pawnee County,County
20147,Phillips County,County
20149,Pottawatomie County,County
20151,Pratt County,County
20153,Rawlins County,County
20155,Reno County,County
20157,Republic County,County
20159,Rice County,County
20161,Riley County,County
20163,Rooks County,County
20165,Rush County,County
20167,Russell County,County
20169,Saline County,County
20171,Scott County,County
20173,Sedgwick County,County
20175,Seward County,County
20177,Shawnee County,County
20179,Sheridan County,County
20181,Sherman County,County
20183,Smith County,County
20185,Stafford County,County
20187,Stanton County,County
20189,Stevens County,County
20191,Sumner County,County
20193,Thomas County,County
20195,Trego County,County
20197,Wabaunsee County,County
20199,Wallace County,County
20201,Washington County,County
20203,Wichita County,County
20205,Wilson County,County
20207,Woodson County,County
20209,Wyandotte County,County
21000,Kentucky,County
21001,Adair County,County
21003,Allen County,County
21005,Anderson County,County
21007,Ballard County,County
21009,Barren County,County
21011,Bath County,County
21013,Bell County,County
21015,Boone County,County
21017,Bourbon County,County
21019,Boyd County,County
21021,Boyle County,County
21023,Bracken County,County
21025,Breathitt County,County
21027,Breckinridge County,County
21029,Bullitt County,County
21031,Butler County,County
21033,Caldwell County,County
21035,Calloway County,County
21037,Campbell County,County
21039,Carlisle County,County
21041,Carroll County,County
21043,Carter County,County
21045,Casey County,County
21047,Christian County,County
21049,Clark County,County
21051,Clay County,County
21053,Clinton County,County
21055,Crittenden County,County
21057,Cumberland County,County
21059,Daviess County,County
21061,Edmonson County,County
21063,Elliott County,County
21065,Estill County,County
21067,Fayette County,County
21069,Fleming County,County
21071,Floyd County,County
21073,Franklin County,County
21075,Fulton County,County
21077,Gallatin County,County
21079,Garrard County,County
21081,Grant County,County
