FIPS Code,Place Name,Place Type
21083,Graves County,County
21085,Grayson County,County
21087,Green County,County
21089,Greenup County,County
21091,Hancock County,County
21093,Hardin County,County
21095,Harlan County,County
21097,Harrison County,County
21099,Hart County,County
21101,Henderson County,County
21103,Henry County,County
21105,Hickman County,County
21107,Hopkins County,County
21109,Jackson County,County
21111,Jefferson County,County
21113,Jessamine County,County
21115,Johnson County,County
21117,Kenton County,County
21119,Knott County,County
21121,Knox County,County
21123,Larue County,County
21125,Laurel County,County
21127,Lawrence County,County
21129,Lee County,County
21131,Leslie County,County
21133,Letcher County,County
21135,Lewis County,County
21137,Lincoln County,County
21139,Livingston County,County
21141,Logan County,County
21143,Lyon County,County
21145,McCracken County,County
21147,McCreary County,County
21149,McLean County,County
21151,Madison County,County
21153,Magoffin County,County
21155,Marion County,County
21157,Marshall County,County
21159,Martin County,County
21161,Mason County,County
21163,Meade County,County
21165,Menifee County,County
21167,Mercer County,County
21169,Metcalfe County,County
21171,Monroe County,County
21173,Montgomery County,County
21175,Morgan County,County
21177,Muhlenberg County,County
21179,Nelson County,County
21181,Nicholas County,County
21183,Ohio County,County
21185,Oldham County,County
21187,Owen County,County
21189,Owsley County,County
21191,Pendleton County,County
21193,Perry County,County
21195,Pike County,County
21197,Powell County,County
21199,Pulaski County,County
21201,Robertson County,County
21203,Rockcastle County,County
21205,Rowan County,County
21207,Russell County,County
21209,Scott County,County
21211,Shelby County,County
21213,Simpson County,County
21215,Spencer County,County
21217,Taylor County,County
21219,Todd County,County
21221,Trigg County,County
21223,Trimble County,County
21225,Union County,County
21227,Warren County,County
21229,Washington County,County
21231,Wayne County,County
21233,Webster County,County
21235,Whitley County,County
21237,Wolfe County,County
21239,Woodford County,County
22000,Louisiana,County
22001,Acadia Parish,County
22003,Allen Parish,County
22005,Ascension Parish,County
22007,Assumption Parish,County
22009,Avoyelles Parish,County
22011,Beauregard Parish,County
22013,Bienville Parish,County
22015,Bossier Parish,County
22017,Caddo Parish,County
22019,Calcasieu Parish,County
22021,Caldwell Parish,County
22023,Cameron Parish,County
22025,Catahoula Parish,County
22027,Claiborne Parish,County
22029,Concordia Parish,County
22031,De Soto Parish,County
22033,East Baton Rouge Parish,County
22035,East Carroll Parish,County
22037,East Feliciana Parish,County
22039,Evangeline Parish,County
22041,Franklin Parish,County
22043,Grant Parish,County
22045,Iberia Parish,County
22047,Iberville Parish,County
22049,Jackson Parish,County
22051,Jefferson Parish,County
22053,Jefferson Davis Parish,County
22055,Lafayette Parish,County
22057,Lafourche Parish,County
22059,La Salle Parish,County
22061,Lincoln Parish,County
22063,Livingston Parish,County
22065,Madison Parish,County
22067,Morehouse Parish,County
22069,Natchitoches Parish,County
22071,Orleans Parish,County
22073,Ouachita Parish,County
22075,Plaquemines Parish,County
22077,Pointe Coupee Parish,County
22079,Rapides Parish,County
22081,Red River Parish,County
22083,Richland Parish,County
22085,Sabine Parish,County
22087,St. Bernard Parish,County
22089,St. Charles Parish,County
22091,St. Helena Parish,County
22093,St. James Parish,County
22095,St. John the Baptist Parish,County
22097,St. Landry Parish,County
22099,St. Martin Parish,County
22101,St. Mary Parish,County
22103,St. Tammany Parish,County
22105,Tangipahoa Parish,County
22107,Tensas Parish,County
22109,Terrebonne Parish,County
22111,Union Parish,County
22113,Vermilion Parish,County
22115,Vernon Parish,County
22117,Washington Parish,County
22119,Webster Parish,County
22121,West Baton Rouge Parish,County
22123,West Carroll Parish,County
22125,West Feliciana Parish,County
22127,Winn Parish,County
23000,Maine,County
23001,Androscoggin County,County
23003,Aroostook County,County
23005,Cumberland County,County
23007,Franklin County,County
23009,Hancock County,County
23011,Kennebec County,County
23013,Knox County,County
23015,Lincoln County,County
23017,Oxford County,County
23019,Penobscot County,County
23021,Piscataquis County,County
23023,Sagadahoc County,County
23025,Somerset County,County
23027,Waldo County,County
23029,Washington County,County
23031,York County,County
24000,Maryland,County
24001,Allegany County,County
24003,Anne Arundel County,County
24005,Baltimore County,County
24009,Calvert County,County
24011,Caroline County,County
24013,Carroll County,County
24015,Cecil County,County
24017,Charles County,County
24019,Dorchester County,County
24021,Frederick County,County
24023,Garrett County,County
24025,Harford County,County
24027,Howard County,County
24029,Kent County,County
24031,Montgomery County,County
24033,Prince George,County
24035,Queen Anne,County
24037,St. Mary,County
24039,Somerset County,County
24041,Talbot County,County
24043,Washington County,County
24045,Wicomico County,County
24047,Worcester County,County
24510,Baltimore city,County
25000,Massachusetts,County
25001,Barnstable County,County
25003,Berkshire County,County
25005,Bristol County,County
25007,Dukes County,County
25009,Essex County,County
25011,Franklin County,County
25013,Hampden County,County
25015,Hampshire County,County
25017,Middlesex County,County
25019,Nantucket County,County
25021,Norfolk County,County
25023,Plymouth County,County
25025,Suffolk County,County
25027,Worcester County,County
26000,Michigan,County
26001,Alcona County,County
26003,Alger County,County
26005,Allegan County,County
26007,Alpena County,County
26009,Antrim County,County
26011,Arenac County,County
26013,Baraga County,County
26015,Barry County,County
26017,Bay County,County
26019,Benzie County,County
26021,Berrien County,County
26023,Branch County,County
26025,Calhoun County,County
26027,Cass County,County
26029,Charlevoix County,County
26031,Cheboygan County,County
26033,Chippewa County,County
26035,Clare County,County
26037,Clinton County,County
26039,Crawford County,County
26041,Delta County,County
26043,Dickinson County,County
26045,Eaton County,County
26047,Emmet County,County
26049,Genesee County,County
26051,Gladwin County,County
26053,Gogebic County,County
26055,Grand Traverse County,County
26057,Gratiot County,County
26059,Hillsdale County,County
26061,Houghton County,County
26063,Huron County,County
26065,Ingham County,County
26067,Ionia County,County
26069,Iosco County,County
26071,Iron County,County
26073,Isabella County,County
26075,Jackson County,County
26077,Kalamazoo County,County
26079,Kalkaska County,County
26081,Kent County,County
26083,Keweenaw County,County
26085,Lake County,County
26087,Lapeer County,County
26089,Leelanau County,County
26091,Lenawee County,County
26093,Livingston County,County
26095,Luce County,County
26097,Mackinac County,County
26099,Macomb County,County
26101,Manistee County,County
26103,Marquette County,County
26105,Mason County,County
26107,Mecosta County,County
26109,Menominee County,County
26111,Midland County,County
26113,Missaukee County,County
26115,Monroe County,County
26117,Montcalm County,County
26119,Montmorency County,County
26121,Muskegon County,County
26123,Newaygo County,County
26125,Oakland County,County
26127,Oceana County,County
26129,Ogemaw County,County
26131,Ontonagon County,County
26133,Osceola County,County
26135,Oscoda County,County
26137,Otsego County,County
26139,Ottawa County,County
26141,Presque Isle County,County
26143,Roscommon County,County
26145,Saginaw County,County
26147,St. Clair County,County
26149,St. Joseph County,County
26151,Sanilac County,County
26153,Schoolcraft County,County
26155,Shiawassee County,County
26157,Tuscola County,County
26159,Van Buren County,County
26161,Washtenaw County,County
26163,Wayne County,County
26165,Wexford County,County
27000,Minnesota,County
27001,Aitkin County,County
27003,Anoka County,County
27005,Becker County,County
27007,Beltrami County,County
27009,Benton County,County
27011,Big Stone County,County
27013,Blue Earth County,County
27015,Brown County,County
27017,Carlton County,County
27019,Carver County,County
27021,Cass County,County
27023,Chippewa County,County
27025,Chisago County,County
27027,Clay County,County
27029,Clearwater County,County
27031,Cook County,County
27033,Cottonwood County,County
27035,Crow Wing County,County
27037,Dakota County,County
27039,Dodge County,County
27041,Douglas County,County
27043,Faribault County,County
27045,Fillmore County,County
27047,Freeborn County,County
27049,Goodhue County,County
27051,Grant County,County
27053,Hennepin County,County
27055,Houston County,County
27057,Hubbard County,County
27059,Isanti County,County
27061,Itasca County,County
27063,Jackson County,County
27065,Kanabec County,County
27067,Kandiyohi County,County
27069,Kittson County,County
27071,Koochiching County,County
27073,Lac qui Parle County,County
27075,Lake County,County
27077,Lake of the Woods County,County
27079,Le Sueur County,County
27081,Lincoln County,County
27083,Lyon County,County
27085,McLeod County,County
27087,Mahnomen County,County
27089,Marshall County,County
27091,Martin County,County
27093,Meeker County,County
27095,Mille Lacs County,County
27097,Morrison County,County
27099,Mower County,County
27101,Murray County,County
27103,Nicollet County,County
27105,Nobles County,County
27107,Norman County,County
27109,Olmsted County,County
27111,Otter Tail County,County
27113,Pennington County,County
27115,Pine County,County
27117,Pipestone County,County
27119,Polk County,County
27121,Pope County,County
27123,Ramsey County,County
27125,Red Lake County,County
27127,Redwood County,County
27129,Renville County,County
27131,Rice County,County
27133,Rock County,County
27135,Roseau County,County
27137,St. Louis County,County
27139,Scott County,County
27141,Sherburne County,County
27143,Sibley County,County
27145,Stearns County,County
27147,Steele County,County
27149,Stevens County,County
27151,Swift County,County
27153,Todd County,County
27155,Traverse County,County
27157,Wabasha County,County
27159,Wadena County,County
27161,Waseca County,County
27163,Washington County,County
27165,Watonwan County,County
27167,Wilkin County,County
27169,Winona County,County
27171,Wright County,County
27173,Yellow Medicine County,County
28000,Mississippi,County
28001,Adams County,County
28003,Alcorn County,County
28005,Amite County,County
28007,Attala County,County
28009,Benton County,County
28011,Bolivar County,County
28013,Calhoun County,County
28015,Carroll County,County
28017,Chickasaw County,County
28019,Choctaw County,County
28021,Claiborne County,County
28023,Clarke County,County
28025,Clay County,County
28027,Coahoma County,County
28029,Copiah County,County
28031,Covington County,County
28033,DeSoto County,County
28035,Forrest County,County
28037,Franklin County,County
28039,George County,County
28041,Greene County,County
28043,Grenada County,County
28045,Hancock County,County
28047,Harrison County,County
28049,Hinds County,County
28051,Holmes County,County
28053,Humphreys County,County
28055,Issaquena County,County
28057,Itawamba County,County
28059,Jackson County,County
28061,Jasper County,County
28063,Jefferson County,County
28065,Jefferson Davis County,County
28067,Jones County,County
28069,Kemper County,County
28071,Lafayette County,County
28073,Lamar County,County
28075,Lauderdale County,County
28077,Lawrence County,County
28079,Leake County,County
28081,Lee County,County
28083,Leflore County,County
28085,Lincoln County,County
28087,Lowndes County,County
28089,Madison County,County
28091,Marion County,County
28093,Marshall County,County
28095,Monroe County,County
28097,Montgomery County,County
28099,Neshoba County,County
28101,Newton County,County
28103,Noxubee County,County
28105,Oktibbeha County,County
28107,Panola County,County
28109,Pearl River County,County
28111,Perry County,County
28113,Pike County,County
28115,Pontotoc County,County
28117,Prentiss County,County
28119,Quitman County,County
28121,Rankin County,County
28123,Scott County,County
28125,Sharkey County,County
28127,Simpson County,County
28129,Smith County,County
28131,Stone County,County
28133,Sunflower County,County
28135,Tallahatchie County,County
28137,Tate County,County
28139,Tippah County,County
28141,Tishomingo County,County
28143,Tunica County,County
28145,Union County,County
28147,Walthall County,County
28149,Warren County,County
28151,Washington County,County
28153,Wayne County,County
28155,Webster County,County
28157,Wilkinson County,County
28159,Winston County,County
28161,Yalobusha County,County
28163,Yazoo County,County
29000,Missouri,County
29001,Adair County,County
29003,Andrew County,County
29005,Atchison County,County
29007,Audrain County,County
29009,Barry County,County
29011,Barton County,County
29013,Bates County,County
29015,Benton County,County
29017,Bollinger County,County
29019,Boone County,County
29021,Buchanan County,County
29023,Butler County,County
29025,Caldwell County,County
29027,Callaway County,County
29029,Camden County,County
29031,Cape Girardeau County,County
29033,Carroll County,County
29035,Carter County,County
29037,Cass County,County
29039,Cedar County,County
29041,Chariton County,County
29043,Christian County,County
29045,Clark County,County
29047,Clay County,County
29049,Clinton County,County
29051,Cole County,County
29053,Cooper County,County
29055,Crawford County,County
29057,Dade County,County
29059,Dallas County,County
29061,Daviess County,County
29063,DeKalb County,County
29065,Dent County,County
29067,Douglas County,County
29069,Dunklin County,County
29071,Franklin County,County
29073,Gasconade County,County
29075,Gentry County,County
29077,Greene County,County
29079,Grundy County,County
29081,Harrison County,County
29083,Henry County,County
29085,Hickory County,County
29087,Holt County,County
29089,Howard County,County
29091,Howell County,County
29093,Iron County,County
29095,Jackson County,County
29097,Jasper County,County
29099,Jefferson County,County
29101,Johnson County,County
29103,Knox County,County
29105,Laclede County,County
29107,Lafayette County,County
29109,Lawrence County,County
29111,Lewis County,County
29113,Lincoln County,County
29115,Linn County,County
29117,Livingston County,County
29119,McDonald County,County
29121,Macon County,County
29123,Madison County,County
29125,Maries County,County
29127,Marion County,County
29129,Mercer County,County
29131,Miller County,County
29133,Mississippi County,County
29135,Moniteau County,County
29137,Monroe County,County
29139,Montgomery County,County
29141,Morgan County,County
29143,New Madrid County,County
29145,Newton County,County
29147,Nodaway County,County
29149,Oregon County,County
29151,Osage County,County
29153,Ozark County,County
29155,Pemiscot County,County
29157,Perry County,County
29159,Pettis County,County
29161,Phelps County,County
29163,Pike County,County
29165,Platte County,County
29167,Polk County,County
29169,Pulaski County,County
29171,Putnam County,County
29173,Ralls County,County
29175,Randolph County,County
29177,Ray County,County
29179,Reynolds County,County
29181,Ripley County,County
29183,St. Charles County,County
29185,St. Clair County,County
29186,Ste. Genevieve County,County
29187,St. Francois County,County
29189,St. Louis County,County
29195,Saline County,County
29197,Schuyler County,County
29199,Scotland County,County
29201,Scott County,County
29203,Shannon County,County
29205,Shelby County,County
29207,Stoddard County,County
29209,Stone County,County
29211,Sullivan County,County
29213,Taney County,County
29215,Texas County,County
29217,Vernon County,County
29219,Warren County,County
29221,Washington County,County
29223,Wayne County,County
29225,Webster County,County
29227,Worth County,County
29229,Wright County,County
29510,St. Louis city,County
30000,Montana,County
30001,Beaverhead County,County
30003,Big Horn County,County
30005,Blaine County,County
30007,Broadwater County,County
30009,Carbon County,County
30011,Carter County,County
30013,Cascade County,County
30015,Chouteau County,County
30017,Custer County,County
30019,Daniels County,County
30021,Dawson County,County
30023,Deer Lodge County,County
30025,Fallon County,County
30027,Fergus County,County
30029,Flathead County,County
30031,Gallatin County,County
30033,Garfield County,County
30035,Glacier County,County
30037,Golden Valley County,County
30039,Granite County,County
30041,Hill County,County
30043,Jefferson County,County
30045,Judith Basin County,County
30047,Lake County,County
30049,Lewis and Clark County,County
30051,Liberty County,County
30053,Lincoln County,County
30055,McCone County,County
30057,Madison County,County
30059,Meagher County,County
30061,Mineral County,County
30063,Missoula County,County
30065,Musselshell County,County
30067,Park County,County
30069,Petroleum County,County
30071,Phillips County,County
30073,Pondera County,County
30075,Powder River County,County
30077,Powell County,County
30079,Prairie County,County
30081,Ravalli County,County
30083,Richland County,County
30085,Roosevelt County,County
30087,Rosebud County,County
30089,Sanders County,County
30091,Sheridan County,County
30093,Silver Bow County,County
30095,Stillwater County,County
30097,Sweet Grass County,County
30099,Teton County,County
30101,Toole County,County
30103,Treasure County,County
30105,Valley County,County
30107,Wheatland County,County
30109,Wibaux County,County
30111,Yellowstone County,County
30113,Yellowstone National Park,County
31000,Nebraska,County
31001,Adams County,County
31003,Antelope County,County
31005,Arthur County,County
31007,Banner County,County
31009,Blaine County,County
31011,Boone County,County
31013,Box Butte County,County
31015,Boyd County,County
31017,Brown County,County
31019,Buffalo County,County
31021,Burt County,County
31023,Butler County,County
31025,Cass County,County
31027,Cedar County,County
31029,Chase County,County
31031,Cherry County,County
31033,Cheyenne County,County
31035,Clay County,County
31037,Colfax County,County
31039,Cuming County,County
31041,Custer County,County
31043,Dakota County,County
31045,Dawes County,County
31047,Dawson County,County
31049,Deuel County,County
31051,Dixon County,County
31053,Dodge County,County
31055,Douglas County,County
31057,Dundy County,County
31059,Fillmore County,County
31061,Franklin County,County
31063,Frontier County,County
31065,Furnas County,County
31067,Gage County,County
31069,Garden County,County
31071,Garfield County,County
31073,Gosper County,County
31075,Grant County,County
31077,Greeley County,County
31079,Hall County,County
31081,Hamilton County,County
31083,Harlan County,County
31085,Hayes County,County
31087,Hitchcock County,County
31089,Holt County,County
31091,Hooker County,County
31093,Howard County,County
31095,Jefferson County,County
31097,Johnson County,County
31099,Kearney County,County
31101,Keith County,County
31103,Keya Paha County,County
31105,Kimball County,County
31107,Knox County,County
31109,Lancaster County,County
31111,Lincoln County,County
31113,Logan County,County
31115,Loup County,County
31117,McPherson County,County
31119,Madison County,County
31121,Merrick County,County
31123,Morrill County,County
31125,Nance County,County
31127,Nemaha County,County
31129,Nuckolls County,County
31131,Otoe County,County
31133,Pawnee County,County
31135,Perkins County,County
31137,Phelps County,County
31139,Pierce County,County
31141,Platte County,County
31143,Polk County,County
31145,Red Willow County,County
31147,Richardson County,County
31149,Rock County,County
31151,Saline County,County
31153,Sarpy County,County
31155,Saunders County,County
31157,Scotts Bluff County,County
31159,Seward County,County
31161,Sheridan County,County
31163,Sherman County,County
31165,Sioux County,County
31167,Stanton County,County
31169,Thayer County,County
31171,Thomas County,County
31173,Thurston County,County
31175,Valley County,County
31177,Washington County,County
31179,Wayne County,County
31181,Webster County,County
31183,Wheeler County,County
31185,York County,County
32000,Nevada,County
32001,Churchill County,County
32003,Clark County,County
32005,Douglas County,County
32007,Elko County,County
32009,Esmeralda County,County
32011,Eureka County,County
32013,Humboldt County,County
32015,Lander County,County
32017,Lincoln County,County
32019,Lyon County,County
32021,Mineral County,County
32023,Nye County,County
32027,Pershing County,County
32029,Storey County,County
32031,Washoe County,County
32033,White Pine County,County
32510,Carson City,County
33000,New Hampshire,County
33001,Belknap County,County
33003,Carroll County,County
33005,Cheshire County,County
33007,Coos County,County
33009,Grafton County,County
33011,Hillsborough County,County
33013,Merrimack County,County
33015,Rockingham County,County
33017,Strafford County,County
33019,Sullivan County,County
34000,New Jersey,County
34001,Atlantic County,County
34003,Bergen County,County
34005,Burlington County,County
34007,Camden County,County
34009,Cape May County,County
34011,Cumberland County,County
34013,Essex County,County
34015,Gloucester County,County
34017,Hudson County,County
34019,Hunterdon County,County
34021,Mercer County,County
34023,Middlesex County,County
34025,Monmouth County,County
34027,Morris County,County
34029,Ocean County,County
34031,Passaic County,County
34033,Salem County,County
34035,Somerset County,County
34037,Sussex County,County
34039,Union County,County
34041,Warren County,County
35000,New Mexico,County
35001,Bernalillo County,County
35003,Catron County,County
35005,Chaves County,County
35006,Cibola County,County
35007,Colfax County,County
35009,Curry County,County
35011,DeBaca County,County
35013,Dona Ana County,County
35015,Eddy County,County
35017,Grant County,County
35019,Guadalupe County,County
35021,Harding County,County
35023,Hidalgo County,County
35025,Lea County,County
35027,Lincoln County,County
35028,Los Alamos County,County
35029,Luna County,County
35031,McKinley County,County
35033,Mora County,County
35035,Otero County,County
35037,Quay County,County
35039,Rio Arriba County,County
35041,Roosevelt County,County
35043,Sandoval County,County
35045,San Juan County,County
35047,San Miguel County,County
35049,Santa Fe County,County
35051,Sierra County,County
35053,Socorro County,County
35055,Taos County,County
35057,Torrance County,County
35059,Union County,County
35061,Valencia County,County
36000,New York,County
36001,Albany County,County
36003,Allegany County,County
36005,Bronx County,County
36007,Broome County,County
36009,Cattaraugus County,County
36011,Cayuga County,County
36013,Chautauqua County,County
36015,Chemung County,County
36017,Chenango County,County
36019,Clinton County,County
36021,Columbia County,County
36023,Cortland County,County
36025,Delaware County,County
36027,Dutchess County,County
36029,Erie County,County
36031,Essex County,County
36033,Franklin County,County
36035,Fulton County,County
36037,Genesee County,County
36039,Greene County,County
36041,Hamilton County,County
36043,Herkimer County,County
36045,Jefferson County,County
36047,Kings County,County
36049,Lewis County,County
36051,Livingston County,County
36053,Madison County,County
36055,Monroe County,County
36057,Montgomery County,County
36059,Nassau County,County
36061,New York County,County
36063,Niagara County,County
36065,Oneida County,County
36067,Onondaga County,County
36069,Ontario County,County
36071,Orange County,County
36073,Orleans County,County
36075,Oswego County,County
36077,Otsego County,County
36079,Putnam County,County
36081,Queens County,County
36083,Rensselaer County,County
36085,Richmond County,County
36087,Rockland County,County
36089,St. Lawrence County,County
36091,Saratoga County,County
36093,Schenectady County,County
36095,Schoharie County,County
36097,Schuyler County,County
36099,Seneca County,County
36101,Steuben County,County
36103,Suffolk County,County
36105,Sullivan County,County
36107,Tioga County,County
36109,Tompkins County,County
36111,Ulster County,County
36113,Warren County,County
36115,Washington County,County
36117,Wayne County,County
36119,Westchester County,County
36121,Wyoming County,County
36123,Yates County,County
37000,North Carolina,County
37001,Alamance County,County
37003,Alexander County,County
37005,Alleghany County,County
37007,Anson County,County
37009,Ashe County,County
37011,Avery County,County
37013,Beaufort County,County
37015,Bertie County,County
37017,Bladen County,County
37019,Brunswick County,County
37021,Buncombe County,County
37023,Burke County,County
37025,Cabarrus County,County
37027,Caldwell County,County
37029,Camden County,County
37031,Carteret County,County
37033,Caswell County,County
37035,Catawba County,County
37037,Chatham County,County
37039,Cherokee County,County
37041,Chowan County,County
37043,Clay County,County
37045,Cleveland County,County
37047,Columbus County,County
37049,Craven County,County
37051,Cumberland County,County
37053,Currituck County,County
37055,Dare County,County
37057,Davidson County,County
37059,Davie County,County
37061,Duplin County,County
37063,Durham County,County
37065,Edgecombe County,County
37067,Forsyth County,County
37069,Franklin County,County
37071,Gaston County,County
37073,Gates County,County
37075,Graham County,County
37077,Granville County,County
37079,Greene County,County
37081,Guilford County,County
37083,Halifax County,County
37085,Harnett County,County
37087,Haywood County,County
37089,Henderson County,County
37091,Hertford County,County
37093,Hoke County,County
37095,Hyde County,County
37097,Iredell County,County
37099,Jackson County,County
37101,Johnston County,County
37103,Jones County,County
37105,Lee County,County
37107,Lenoir County,County
37109,Lincoln County,County
37111,McDowell County,County
37113,Macon County,County
37115,Madison County,County
37117,Martin County,County
37119,Mecklenburg County,County
37121,Mitchell County,County
37123,Montgomery County,County
37125,Moore County,County
37127,Nash County,County
37129,New Hanover County,County
37131,Northampton County,County
37133,Onslow County,County
37135,Orange County,County
37137,Pamlico County,County
37139,Pasquotank County,County
37141,Pender County,County
37143,Perquimans County,County
37145,Person County,County
37147,Pitt County,County
37149,Polk County,County
37151,Randolph County,County
37153,Richmond County,County
37155,Robeson County,County
37157,Rockingham County,County
37159,Rowan County,County
37161,Rutherford County,County
37163,Sampson County,County
37165,Scotland County,County
37167,Stanly County,County
37169,Stokes County,County
37171,Surry County,County
37173,Swain County,County
37175,Transylvania County,County
37177,Tyrrell County,County
37179,Union County,County
37181,Vance County,County
37183,Wake County,County
37185,Warren County,County
37187,Washington County,County
37189,Watauga County,County
37191,Wayne County,County
37193,Wilkes County,County
37195,Wilson County,County
37197,Yadkin County,County
37199,Yancey County,County
38000,North Dakota,County
38001,Adams County,County
38003,Barnes County,County
38005,Benson County,County
38007,Billings County,County
38009,Bottineau County,County
38011,Bowman County,County
38013,Burke County,County
38015,Burleigh County,County
38017,Cass County,County
38019,Cavalier County,County
38021,Dickey County,County
38023,Divide County,County
38025,Dunn County,County
38027,Eddy County,County
38029,Emmons County,County
38031,Foster County,County
38033,Golden Valley County,County
38035,Grand Forks County,County
38037,Grant County,County
38039,Griggs County,County
38041,Hettinger County,County
38043,Kidder County,County
38045,LaMoure County,County
38047,Logan County,County
38049,McHenry County,County
38051,McIntosh County,County
38053,McKenzie County,County
38055,McLean County,County
38057,Mercer County,County
38059,Morton County,County
38061,Mountrail County,County
38063,Nelson County,County
38065,Oliver County,County
38067,Pembina County,County
38069,Pierce County,County
38071,Ramsey County,County
38073,Ransom County,County
38075,Renville County,County
38077,Richland County,County
38079,Rolette County,County
38081,Sargent County,County
38083,Sheridan County,County
38085,Sioux County,County
38087,Slope County,County
38089,Stark County,County
38091,Steele County,County
38093,Stutsman County,County
38095,Towner County,County
38097,Traill County,County
38099,Walsh County,County
38101,Ward County,County
38103,Wells County,County
38105,Williams County,County
39000,Ohio,County
39001,Adams County,County
39003,Allen County,County
39005,Ashland County,County
39007,Ashtabula County,County
39009,Athens County,County
39011,Auglaize County,County
39013,Belmont County,County
39015,Brown County,County
39017,Butler County,County
39019,Carroll County,County
39021,Champaign County,County
39023,Clark County,County
39025,Clermont County,County
39027,Clinton County,County
39029,Columbiana County,County
39031,Coshocton County,County
39033,Crawford County,County
39035,Cuyahoga County,County
39037,Darke County,County
39039,Defiance County,County
39041,Delaware County,County
39043,Erie County,County
39045,Fairfield County,County
39047,Fayette County,County
39049,Franklin County,County
39051,Fulton County,County
39053,Gallia County,County
39055,Geauga County,County
39057,Greene County,County
39059,Guernsey County,County
39061,Hamilton County,County
39063,Hancock County,County
39065,Hardin County,County
39067,Harrison County,County
39069,Henry County,County
39071,Highland County,County
39073,Hocking County,County
39075,Holmes County,County
39077,Huron County,County
39079,Jackson County,County
39081,Jefferson County,County
39083,Knox County,County
39085,Lake County,County
