County,Township,Label
Livingston County,Union,
Fulton County,Union,
Union County,Balcom,
Union County,Cobden District 1,
Hardin County,Cave-In-Rock,
Hardin County,McFarlan,
Hardin County,Monroe,Current Clients
Union County,Cobden District 2,
Union County,Dongola District 2,
Vermilion County,Vance,
Knox County,Cedar,In the Pipeline
Knox County,Chestnut,In the Pipeline
Knox County,Copley,In the Pipeline
Knox County,Elba,In the Pipeline
Knox County,Haw Creek,In the Pipeline
Knox County,Indian Point,In the Pipeline
Knox County,Knox,In the Pipeline
Knox County,Maquon,In the Pipeline
Saline County,Brushy,
Saline County,Cottage,
Macon County,South Macon,In the Pipeline
Hardin County,Stone Church,
Knox County,Ontario,In the Pipeline
Knox County,Persifer,In the Pipeline
Knox County,Rio,In the Pipeline
Marion County,Salem,In the Pipeline
Carroll County,Salem,In the Pipeline
Knox County,Salem,In the Pipeline
Knox County,Sparta,In the Pipeline
Jackson County,Bradley,
Union County,Lick Creek,
Union County,Mill Creek,
Union County,Stokes,
Boone County,Belvidere,In the Pipeline
Clinton County,Clement,
Boone County,Bonus,In the Pipeline
Boone County,Boone,
Boone County,Caledonia,In the Pipeline
Vermilion County,Jamaica,
McDonough County,Bethel,
Knox County,Truro,In the Pipeline
Knox County,Victoria,In the Pipeline
White County,Carmi,
Jersey County,Elsah,
Jackson County,De Soto,
Jackson County,Fountain Bluff,
Jackson County,Kinkaid,
McDonough County,Bushnell,
McDonough County,Colchester,
McDonough County,Eldorado,
Mason County,Lynchburg,
McDonough County,Hire,
McDonough County,Industry,
Menard County,Sugar Grove No. 5,
Champaign County,Brown,Current Clients
Bond County,Lagrange,
Bond County,Old Ripley,
Bond County,Tamalco,
Henry County,Alba,
Henry County,Annawan,
Henry County,Atkinson,
Henry County,Burns,
Henry County,Clover,
Henry County,Colona,
Henry County,Cornwall,
Henry County,Edford,
Henry County,Geneseo,
Henry County,Hanna,
Henry County,Kewanee,
Henry County,Loraine,
De Witt County,Clintonia,
De Witt County,Creek,
Edwards County,Shelby No. 2,
De Witt County,Harp,
Henry County,Lynn,In the Pipeline
Knox County,Lynn,In the Pipeline
Henry County,Munson,
Henry County,Osco,
Henry County,Oxford,
Henry County,Phenix,
Henry County,Weller,
Henry County,Wethersfield,
Henry County,Yorktown,
Will County,Plainfield,
Will County,Reed,
Will County,Troy,In the Pipeline
Carroll County,Washington,
Will County,Washington,
Tazewell County,Washington,
Will County,Wesley,
Hancock County,Dallas City,
Hancock County,Nauvoo,
De Witt County,Texas,
De Witt County,Tunbridge,
De Witt County,Wapella,
Hancock County,Pilot Grove,
Hancock County,Pontoosuc,
Brown County,Cooperstown,
De Witt County,Wilson,
Jo Daviess County,Stockton,
Clinton County,Carlyle,
Clinton County,Lake,
Iroquois County,Ash Grove,
Shelby County,Ash Grove,
Peoria County,Kickapoo,Current Clients
Peoria County,Medina,Current Clients
Peoria County,Medina,Current Clients
Alexander County,Cairo,
Alexander County,Tamms,
DeKalb County,Squaw Grove,
Macon County,Austin,In the Pipeline
Macon County,Austin,In the Pipeline
Bureau County,Wheatland,
Will County,Wheatland,
Fayette County,Wheatland,
Will County,Wilmington,
Coles County,Charleston,
Coles County,Hutton,
Massac County,Adkins,
Massac County,East Brooklyn,
Marshall County,Bennington,
Grundy County,Aux Sable,
Shelby County,Pickaway,
Lake County,Benton,
Franklin County,Benton,
Franklin County,Denning,
Franklin County,Tyrone,
Massac County,Grant,
Massac County,Hillerman,
Richland County,German,
Richland County,Madison,
Richland County,Preston,
Winnebago County,Seward,In the Pipeline
Winnebago County,Seward,In the Pipeline
Winnebago County,Seward,In the Pipeline
Winnebago County,Seward,In the Pipeline
Kendall County,Seward,In the Pipeline
Kendall County,Seward,In the Pipeline
Kendall County,Seward,In the Pipeline
Kendall County,Seward,In the Pipeline
Union County,Anna District 5,
Winnebago County,Shirland,In the Pipeline
Winnebago County,Shirland,In the Pipeline
Marshall County,Hopewell,
Grundy County,Braceville,
Grundy County,Erienna,
Grundy County,Felix,
Grundy County,Garfield,
Shelby County,Windsor,
Massac County,Jackson,
Massac County,Metropolis No. 2,
Massac County,Metropolis No. 3,
Massac County,West Brooklyn,
Boone County,Flora,In the Pipeline
Wayne County,Barnhill,
Hancock County,Rock Creek,
Hancock County,St. Mary,
Grundy County,Goodfarm,
Grundy County,Greenfield,
Grundy County,Highland,
Cook County,Maine,In the Pipeline
Grundy County,Maine,In the Pipeline
Marshall County,Henry,
Wayne County,Bedford,
Wayne County,Berry,
Grundy County,Mazon,
Morgan County,Franklin,
Massac County,Franklin,
Menard County,Indian Creek No. 7,
Hancock County,Sonora,
Crawford County,Hutsonville,
Crawford County,Lamotte,
Woodford County,Montgomery,
Crawford County,Montgomery,
Crawford County,Robinson,
Crawford County,Southwest,
Grundy County,Wauponsee,
Grundy County,Morris,
Grundy County,Nettle Creek,
Wayne County,Four Mile,
Wayne County,Garden Hill,
Wayne County,Grover,
Wayne County,Hickory Hill,
Grundy County,Norman,
Grundy County,Vienna,
Wayne County,Indian Prairie,
Marshall County,Steuben,
Greene County,Athensville,
Wayne County,Jasper,
Wayne County,Keith,
Greene County,Bluffdale,
Greene County,Linder,
Menard County,Irish Grove No. 4,
Wayne County,Lamard,
Wayne County,Massilon,
Menard County,Petersburg West No. 16,
Massac County,Lincoln,Current Clients
Mercer County,Eliza,
Woodford County,Greene,
Mercer County,Greene,
Woodford County,Palestine,
Woodford County,Panola,
Woodford County,Partridge,
Woodford County,Spring Bay,
Cook County,Worth,
Woodford County,Worth,
St. Clair County,St. Clair,
Wayne County,Mount Erie,
Wayne County,Orchard,
Wayne County,Orel,
Woodford County,Roanoke,
Wayne County,Arrington,
Calhoun County,Point,
Clinton County,Meridian,
Stark County,Valley,
Bureau County,Gold,
Stephenson County,Freeport,
Stephenson County,Winslow,
Lawrence County,Bond,
Lawrence County,Denison,
Lawrence County,Lawrence,
Lawrence County,Petty,
Stephenson County,Buckeye,
Stephenson County,Loran,
Fulton County,Astoria,
Effingham County,Banner,
Fulton County,Banner,
Fulton County,Bernadotte,
Fulton County,Buckheart,
Lee County,Ashton,
Stephenson County,Rock Run,
Fulton County,Canton,
Fulton County,Ellisville,
Fulton County,Fairview,
Fulton County,Farmers,
Fulton County,Joshua,
Lee County,Franklin Grove,
Lee County,Dixon,
Lee County,East Grove,
Lee County,Hamilton,
Ogle County,Marion,Current Clients
Ogle County,Marion,Current Clients
Lee County,Marion,Current Clients
Lee County,Marion,Current Clients
Christian County,May,
Lee County,May,
Madison County,Godfrey,In the Pipeline
Lee County,Nelson,
Lee County,Palmyra,
Lee County,South Dixon,
Lee County,Sublette,
Lee County,Viola,
Lee County,Willow Creek,
Will County,Will,
Winnebago County,Seward,In the Pipeline
Winnebago County,Seward,In the Pipeline
Winnebago County,Seward,In the Pipeline
Winnebago County,Seward,In the Pipeline
Kendall County,Seward,In the Pipeline
Kendall County,Seward,In the Pipeline
Kendall County,Seward,In the Pipeline
Kendall County,Seward,In the Pipeline
Will County,Peotone,
Gallatin County,Bowlesville,
Winnebago County,Roscoe,In the Pipeline
Winnebago County,Burritt,In the Pipeline
Winnebago County,Cherry Valley,In the Pipeline
Wabash County,Coffee,
Wabash County,Lancaster,
Winnebago County,Durand,In the Pipeline
Winnebago County,Harlem,In the Pipeline
Stephenson County,Harlem,In the Pipeline
Winnebago County,Harrison,In the Pipeline
Winnebago County,Harrison,In the Pipeline
Winnebago County,Laona,In the Pipeline
Winnebago County,Laona,In the Pipeline
Winnebago County,Owen,In the Pipeline
Winnebago County,Owen,In the Pipeline
Winnebago County,Rockford,In the Pipeline
Winnebago County,Rockton,In the Pipeline
Winnebago County,Winnebago,In the Pipeline
Jo Daviess County,Apple River,
Jo Daviess County,Berreman,
Stephenson County,Dakota,
Stephenson County,Erin,
Will County,Florence,
Stephenson County,Florence,
Menard County,Fancy Prairie No. 3,
Union County,Jonesboro District 2,
Union County,Anna District 4,
Jo Daviess County,Council Hill,
Jo Daviess County,Derinda,
Jo Daviess County,Dunleith,
Jo Daviess County,Elizabeth,
Jo Daviess County,Guilford,
Jo Daviess County,Hanover,Current Clients
Cook County,Hanover,Current Clients
Winnebago County,Harlem,In the Pipeline
Stephenson County,Harlem,In the Pipeline
Stephenson County,Jefferson,
Stephenson County,Kent,
Stephenson County,Oneco,
Stephenson County,Rock Grove,
Union County,Jonesboro District 3,
Union County,Anna District 7,
Stephenson County,Waddams,
Stephenson County,West Point,
Piatt County,Bement,
Wabash County,Friendsville,
Wabash County,Mount Carmel,
McLean County,Normal,Current Clients
Macoupin County,Nilwood,
Wabash County,Wabash,
Wabash County,Compton,
Piatt County,Goose Creek,
Piatt County,Monticello,
Piatt County,Sangamon,
Piatt County,Willow Branch,
Henderson County,Carman,
Henderson County,Gladstone,
Henderson County,Lomax,
Richland County,Bonpas,
Richland County,Olney,
De Witt County,Santa Anna,
Henderson County,Media,
Henderson County,Oquawka,
Henderson County,Stronghurst,
Henry County,Lynn,In the Pipeline
Knox County,Lynn,In the Pipeline
Brown County,Ripley,
De Witt County,Barnett,
De Witt County,De Witt,
De Witt County,Rutledge,
Ogle County,Pine Creek,Current Clients
Ogle County,Pine Creek,Current Clients
Henderson County,Terre Haute,
Rock Island County,Edgington,In the Pipeline
Henry County,Cambridge,
Madison County,Alhambra,In the Pipeline
Madison County,Fort Russell,In the Pipeline
Madison County,Hamel,In the Pipeline
Madison County,Marine,In the Pipeline
Madison County,New Douglas,In the Pipeline
Lee County,Reynolds,
Madison County,Olive,In the Pipeline
Madison County,Pin Oak,In the Pipeline
Madison County,St. Jacob,In the Pipeline
Madison County,Wood River,In the Pipeline
McLean County,Bellflower,Current Clients
McLean County,Dale,Current Clients
McLean County,Dale,Current Clients
McLean County,Downs,Current Clients
Madison County,Leef,In the Pipeline
Edgar County,Symmes,
Adams County,Burton,
McHenry County,Burton,
McHenry County,Coral,
McHenry County,Hartland,
Kane County,Aurora,
Kane County,St. Charles,
Winnebago County,Pecatonica,In the Pipeline
Johnson County,Lake No. 1,
Johnson County,Vienna No. 2,
Johnson County,Lake No. 2,
Kendall County,Big Grove,In the Pipeline
Kendall County,Big Grove,In the Pipeline
Kendall County,Bristol,In the Pipeline
Kendall County,Bristol,In the Pipeline
Kendall County,Fox,In the Pipeline
Kendall County,Fox,In the Pipeline
Kendall County,Fox,In the Pipeline
Kendall County,Fox,In the Pipeline
Jasper County,Fox,In the Pipeline
Jasper County,Fox,In the Pipeline
Jasper County,Fox,In the Pipeline
Jasper County,Fox,In the Pipeline
Kendall County,Little Rock,In the Pipeline
Kendall County,Little Rock,In the Pipeline
Kendall County,Little Rock,In the Pipeline
Scott County,Bloomfield,
Johnson County,Bloomfield,
Kendall County,Na-Au-Say,
Peoria County,West Peoria,Current Clients
Kankakee County,Rockville,
Morgan County,South Jacksonville No. 1,
Brown County,Buckhorn,
Brown County,Elkhorn,
Johnson County,Burnside,
Johnson County,Elvira,
Johnson County,Goreville No. 1,
Johnson County,Grantsburg No. 1,
Kankakee County,Pembroke,
Vermilion County,Pilot,
Kankakee County,Pilot,
Kankakee County,St. Anne,
Warren County,Sumner,In the Pipeline
Kankakee County,Sumner,In the Pipeline
Johnson County,Grantsburg No. 2,
Johnson County,Ozark,
Fulton County,Kerton,
Brown County,Lee,
Fulton County,Lee,
Fulton County,Lewistown,
Johnson County,Simpson,
Johnson County,Vienna No. 1,
Johnson County,Vienna No. 3,
Fulton County,Liverpool,
McLean County,Allin,Current Clients
McLean County,Anchor,Current Clients
McLean County,Arrowsmith,Current Clients
Kankakee County,Aroma,
Kankakee County,Bourbonnais,
Clay County,Harter,
Clay County,Hoosier,
Clay County,Larkinsburg,
Fulton County,Orion,
Fulton County,Pleasant,
Fulton County,Putman,
Morgan County,South Jacksonville No. 3,
Morgan County,South Jacksonville No. 2,
Effingham County,Union,
Cumberland County,Union,
Livingston County,Union,
Fulton County,Union,
Warren County,Coldbrook,
Warren County,Ellison,
Warren County,Floyd,
DeKalb County,Victor,
Warren County,Greenbush,
Morgan County,Murrayville,
Clark County,Anderson,
Effingham County,Douglas,
Clark County,Douglas,
Iroquois County,Douglas,
Schuyler County,Oakland,
Iroquois County,Ashkum,
Iroquois County,Belmont,
Iroquois County,Middleport,
Iroquois County,Prairie Green,
Warren County,Kelly,
Warren County,Lenox,
Warren County,Monmouth,
Fulton County,Vermont,
Knox County,Orange,In the Pipeline
Clark County,Orange,In the Pipeline
Lee County,Alto,
Cass County,Bluff Springs,
Monroe County,2,
Monroe County,3,
Iroquois County,Artesia,
Iroquois County,Beaver,
Warren County,Swan,
Carroll County,Woodland,
Fulton County,Woodland,
Fulton County,Young Hickory,
Marion County,Kinmundy,
Monroe County,4,
Monroe County,5,
Marion County,Odin,
Monroe County,7,
Monroe County,8,
Monroe County,9,
Warren County,Roseville,
Iroquois County,Beaverville,
Iroquois County,Crescent,
Effingham County,Douglas,
Clark County,Douglas,
Iroquois County,Douglas,
Iroquois County,Fountain Creek,
Marion County,Omega,
Marion County,Sandoval,
Marion County,Patoka,
Marion County,Alma,
Carroll County,Elkhorn Grove,
Monroe County,13,
Monroe County,16,
Monroe County,17,
Monroe County,18,
Monroe County,19,
Iroquois County,Iroquois,
Iroquois County,Loda,
Iroquois County,Lovejoy,
Iroquois County,Milford,
Monroe County,11,
Monroe County,14,
Monroe County,24,
Monroe County,27,
Monroe County,20,
Monroe County,23,
Monroe County,25,
Monroe County,26,
Monroe County,29,
Monroe County,30,
Cook County,Barrington,Current Clients
Cook County,Berwyn,
Macoupin County,Staunton,
Adams County,Clayton,
Woodford County,Clayton,
Iroquois County,Milks Grove,
Iroquois County,Onarga,
Iroquois County,Papineau,
Iroquois County,Pigeon Grove,
Iroquois County,Ridgeland,
Alexander County,McClure,
Alexander County,Olive Branch,
Alexander County,Sandusky,
Iroquois County,Sheldon,
Tazewell County,Boynton,In the Pipeline
Pike County,Cincinnati,In the Pipeline
Tazewell County,Cincinnati,In the Pipeline
Tazewell County,Deer Creek,In the Pipeline
Whiteside County,Genesee,In the Pipeline
Whiteside County,Hahnaman,In the Pipeline
Whiteside County,Hopkins,In the Pipeline
Whiteside County,Hopkins,In the Pipeline
Whiteside County,Hume,In the Pipeline
Whiteside County,Hume,In the Pipeline
Tazewell County,Delavan,In the Pipeline
Tazewell County,Elm Grove,In the Pipeline
Tazewell County,Fondulac,In the Pipeline
Whiteside County,Montmorency,In the Pipeline
Monroe County,31,
Monroe County,32,
Monroe County,33,
Monroe County,34,
Monroe County,35,
Monroe County,36,
Cook County,Calumet,
Cook County,Cicero,
Cook County,Lemont,
Cook County,New Trier,
White County,Enfield,
White County,Heralds Prairie,
Jersey County,Richwood,
Jersey County,Jersey,
Jersey County,Mississippi,
Jersey County,Otter Creek,In the Pipeline
La Salle County,Otter Creek,In the Pipeline
Jersey County,Piasa,
Jersey County,Quarry,
Jersey County,Rosedale,
Jackson County,Levan,
Jackson County,Murphysboro,
Monroe County,21,
Jackson County,Sand Ridge,
La Salle County,Groveland,In the Pipeline
La Salle County,Groveland,In the Pipeline
Tazewell County,Groveland,In the Pipeline
Tazewell County,Groveland,In the Pipeline
Tazewell County,Hittle,In the Pipeline
Tazewell County,Mackinaw,In the Pipeline
Bureau County,Manlius,In the Pipeline
La Salle County,Manlius,In the Pipeline
Tazewell County,Malone,In the Pipeline
Tazewell County,Morton,In the Pipeline
Tazewell County,Pekin,In the Pipeline
Livingston County,Rooks Creek,
Mason County,Bath,
Jackson County,Vergennes,
Jackson County,Grand Tower,
Jackson County,Pomona,
Hamilton County,Crook,
Hamilton County,Knight Prairie,
Monroe County,15,
Monroe County,22,
Lake County,County subdivisions not defined,
Cook County,County subdivisions not defined,
Cook County,Bremen,
Jo Daviess County,Hanover,Current Clients
Cook County,Hanover,Current Clients
Cook County,Niles,In the Pipeline
Cook County,Proviso,
Cook County,Thornton,
Cook County,Northfield,Current Clients
Cook County,Norwood Park,
Cook County,Oak Park,
Cook County,Orland,
Fayette County,Hurricane,
Fayette County,La Clede,
Fayette County,Lone Grove,
Fayette County,Otego,
Fayette County,Shafter,
Bureau County,Wheatland,
Will County,Wheatland,
Fayette County,Wheatland,
Fayette County,Wilberton,
Jackson County,Somerset,
Tazewell County,Spring Lake,In the Pipeline
Tazewell County,Tremont,In the Pipeline
Carroll County,Washington,
Will County,Washington,
Tazewell County,Washington,
Stark County,Toulon,
Cook County,Palatine,Current Clients
Cook County,Palos,
Adams County,Riverside,
Cook County,Riverside,
Cook County,Schaumburg,Current Clients
Macoupin County,Bunker Hill,
Macoupin County,Brighton,
Whiteside County,Albany,In the Pipeline
Fayette County,Ramsey,
Fayette County,Sefton,
Washington County,Okawville,
Washington County,Oakdale,
Whiteside County,Coloma,In the Pipeline
Whiteside County,Fenton,In the Pipeline
Whiteside County,Fulton,In the Pipeline
Whiteside County,Garden Plain,In the Pipeline
La Salle County,Allen,In the Pipeline
La Salle County,Brookfield,In the Pipeline
La Salle County,Dayton,In the Pipeline
Cook County,Lyons,
Cook County,Wheeling,Current Clients
Macoupin County,Bird,
Macoupin County,Brushy Mound,
Kendall County,Fox,In the Pipeline
Kendall County,Fox,In the Pipeline
Kendall County,Fox,In the Pipeline
Kendall County,Fox,In the Pipeline
Jasper County,Fox,In the Pipeline
Jasper County,Fox,In the Pipeline
Jasper County,Fox,In the Pipeline
Jasper County,Fox,In the Pipeline
La Salle County,Dimmick,In the Pipeline
La Salle County,Eagle,In the Pipeline
La Salle County,Earl,In the Pipeline
La Salle County,Eden,In the Pipeline
La Salle County,Fall River,In the Pipeline
La Salle County,Farm Ridge,In the Pipeline
La Salle County,Grand Rapids,In the Pipeline
Macoupin County,Carlinville,
Macoupin County,Girard,
Macoupin County,Hillyard,
Macoupin County,Honey Point,
Whiteside County,Ustick,In the Pipeline
Jackson County,Elk,
Mason County,Allens Grove,
La Salle County,Hope,In the Pipeline
La Salle County,LaSalle,In the Pipeline
Bureau County,Manlius,In the Pipeline
La Salle County,Manlius,In the Pipeline
La Salle County,Mendota,In the Pipeline
La Salle County,Meriden,In the Pipeline
La Salle County,Miller,In the Pipeline
Macoupin County,Mount Olive,
Macoupin County,North Otter,
Mason County,Forest City,
Mason County,Havana,
Mason County,Manito,
Mason County,Pennsylvania,
Mason County,Quiver,
Macoupin County,North Palmyra,
Macoupin County,Polk,
La Salle County,Mission,In the Pipeline
La Salle County,Northville,In the Pipeline
La Salle County,Osage,In the Pipeline
La Salle County,Ottawa,In the Pipeline
Jersey County,Otter Creek,In the Pipeline
La Salle County,Otter Creek,In the Pipeline
Macoupin County,Scottville,
Macoupin County,Shaws Point,
Macoupin County,Shipman,
Macoupin County,Virden,
Mercer County,Abington,
Macoupin County,Western Mound,
Whiteside County,Prophetstown,In the Pipeline
Whiteside County,Sterling,In the Pipeline
Whiteside County,Tampico,In the Pipeline
Whiteside County,Union Grove,In the Pipeline
Lake County,Moraine,
Jo Daviess County,Warren,
Lake County,Warren,
Lake County,Zion,
St. Clair County,Centreville,
St. Clair County,Shiloh Valley,
St. Clair County,Stookey,
St. Clair County,Millstadt,
Morgan County,Lynnville-Markham,
Morgan County,Meredosia,
Morgan County,Chapin-Concord,
